target,crim,chas,zn,nox,indus,black,rad,ptratio,lstat,rm,dis,tax,age
24.0,0.00632,0,18.0,0.5379999999999999,2.31,396.9,1,15.3,4.98,6.575,4.09,296,65.2
21.6,0.02731,0,0.0,0.469,7.07,396.9,2,17.8,9.14,6.421,4.9671,242,78.9
33.4,0.032369999999999996,0,0.0,0.45799999999999996,2.18,394.63,3,18.7,2.94,6.997999999999999,6.0622,222,45.8
36.2,0.06905,0,0.0,0.45799999999999996,2.18,396.9,3,18.7,5.33,7.147,6.0622,222,54.2
22.9,0.08829,0,12.5,0.524,7.87,395.6,5,15.2,12.43,6.0120000000000005,5.5605,311,66.6
15.0,0.22489,0,12.5,0.524,7.87,392.52,5,15.2,20.45,6.377000000000001,6.3467,311,94.3
18.9,0.11747,0,12.5,0.524,7.87,396.9,5,15.2,13.27,6.0089999999999995,6.2267,311,82.9
21.7,0.09378,0,12.5,0.524,7.87,390.5,5,15.2,15.71,5.888999999999999,5.4509,311,39.0
20.4,0.62976,0,0.0,0.5379999999999999,8.14,396.9,4,21.0,8.26,5.949,4.7075,307,61.8
18.2,0.6379600000000001,0,0.0,0.5379999999999999,8.14,380.02,4,21.0,10.26,6.096,4.4619,307,84.5
19.9,0.62739,0,0.0,0.5379999999999999,8.14,395.62,4,21.0,8.47,5.834,4.4986,307,56.5
23.1,1.05393,0,0.0,0.5379999999999999,8.14,386.85,4,21.0,6.58,5.935,4.4986,307,29.3
20.2,0.80271,0,0.0,0.5379999999999999,8.14,288.99,4,21.0,11.69,5.456,3.7965,307,36.6
13.6,1.25179,0,0.0,0.5379999999999999,8.14,376.57,4,21.0,21.02,5.57,3.7979,307,98.1
19.6,0.8520399999999999,0,0.0,0.5379999999999999,8.14,392.53,4,21.0,13.83,5.965,4.0123,307,89.2
15.2,1.2324700000000002,0,0.0,0.5379999999999999,8.14,396.9,4,21.0,18.72,6.142,3.9769,307,91.7
14.5,0.9884299999999999,0,0.0,0.5379999999999999,8.14,394.54,4,21.0,19.88,5.813,4.0952,307,100.0
14.8,0.9557700000000001,0,0.0,0.5379999999999999,8.14,306.38,4,21.0,17.28,6.047000000000001,4.4534,307,88.8
12.7,1.13081,0,0.0,0.5379999999999999,8.14,360.17,4,21.0,22.6,5.712999999999999,4.2330000000000005,307,94.1
14.5,1.3547200000000001,0,0.0,0.5379999999999999,8.14,376.73,4,21.0,13.04,6.072,4.175,307,100.0
13.5,1.6128200000000001,0,0.0,0.5379999999999999,8.14,248.31,4,21.0,20.34,6.096,3.7598,307,96.9
24.7,0.17505,0,0.0,0.499,5.96,393.43,5,19.2,10.13,5.966,3.8473,279,30.2
30.8,0.027630000000000002,0,75.0,0.428,2.95,395.63,3,18.3,4.32,6.595,5.4011,252,21.8
34.9,0.033589999999999995,0,75.0,0.428,2.95,395.62,3,18.3,1.98,7.024,5.4011,252,15.8
25.3,0.1415,0,0.0,0.44799999999999995,6.91,383.37,3,17.9,5.81,6.169,5.7209,233,6.6
24.7,0.15936,0,0.0,0.44799999999999995,6.91,394.46,3,17.9,7.44,6.211,5.7209,233,6.5
21.2,0.12269000000000001,0,0.0,0.44799999999999995,6.91,389.39,3,17.9,9.55,6.069,5.7209,233,40.0
19.3,0.17142000000000002,0,0.0,0.44799999999999995,6.91,396.9,3,17.9,10.21,5.682,5.1004,233,33.8
20.0,0.18836,0,0.0,0.44799999999999995,6.91,396.9,3,17.9,14.15,5.7860000000000005,5.1004,233,33.3
16.6,0.22926999999999997,0,0.0,0.44799999999999995,6.91,392.74,3,17.9,18.8,6.03,5.6894,233,85.5
19.4,0.21977,0,0.0,0.44799999999999995,6.91,396.9,3,17.9,16.2,5.602,6.0877,233,62.0
19.7,0.08872999999999999,0,21.0,0.439,5.64,395.56,4,16.8,13.45,5.962999999999999,6.8147,243,45.7
20.5,0.04337,0,21.0,0.439,5.64,393.97,4,16.8,9.43,6.115,6.8147,243,63.0
23.4,0.04981,0,21.0,0.439,5.64,396.9,4,16.8,8.43,5.997999999999999,6.8147,243,21.4
18.9,0.0136,0,75.0,0.41,4.0,396.9,3,21.1,14.8,5.888,7.3197,469,47.6
35.4,0.01311,0,90.0,0.40299999999999997,1.22,395.93,5,17.9,4.81,7.249,8.6966,226,21.9
24.7,0.02055,0,85.0,0.41,0.74,396.9,2,17.3,5.77,6.382999999999999,9.1876,313,35.7
31.6,0.01432,0,100.0,0.41100000000000003,1.32,392.9,5,15.1,3.95,6.816,8.3248,256,40.5
23.3,0.15445,0,25.0,0.45299999999999996,5.13,390.68,8,19.7,6.86,6.145,7.8148,284,29.2
18.7,0.14932,0,25.0,0.45299999999999996,5.13,395.11,8,19.7,13.15,5.7410000000000005,7.2254,284,66.2
16.0,0.17171,0,25.0,0.45299999999999996,5.13,378.08,8,19.7,14.44,5.966,6.8185,284,93.4
25.0,0.1265,0,25.0,0.45299999999999996,5.13,395.58,8,19.7,9.5,6.7620000000000005,7.9809,284,43.4
33.0,0.01951,0,17.5,0.4161,1.38,393.24,3,18.6,8.05,7.104,9.2229,216,59.5
23.5,0.03584,0,80.0,0.39799999999999996,3.37,396.9,4,16.1,4.67,6.29,6.6115,337,17.8
19.4,0.043789999999999996,0,80.0,0.39799999999999996,3.37,396.9,4,16.1,10.24,5.787000000000001,6.6115,337,31.1
22.0,0.05789,0,12.5,0.409,6.07,396.21,4,18.9,8.1,5.877999999999999,6.497999999999999,345,21.4
17.4,0.13554000000000002,0,12.5,0.409,6.07,396.9,4,18.9,13.09,5.593999999999999,6.497999999999999,345,36.8
24.2,0.08826,0,0.0,0.413,10.81,383.73,4,19.2,6.72,6.417000000000001,5.2873,305,6.6
22.8,0.09164,0,0.0,0.413,10.81,390.91,4,19.2,5.52,6.065,5.2873,305,7.8
23.4,0.19539,0,0.0,0.413,10.81,377.17,4,19.2,7.54,6.245,5.2873,305,6.2
24.1,0.07896,0,0.0,0.43700000000000006,12.83,394.92,5,18.7,6.78,6.273,4.2515,398,6.0
21.4,0.09512000000000001,0,0.0,0.43700000000000006,12.83,383.23,5,18.7,8.94,6.2860000000000005,4.5026,398,45.0
20.0,0.10153,0,0.0,0.43700000000000006,12.83,373.66,5,18.7,11.97,6.279,4.0522,398,74.5
20.8,0.08707000000000001,0,0.0,0.43700000000000006,12.83,386.96,5,18.7,10.27,6.14,4.0905,398,45.8
28.0,0.04113,0,25.0,0.426,4.86,396.9,4,19.0,5.29,6.727,5.4007,281,33.5
23.9,0.04462,0,25.0,0.426,4.86,395.63,4,19.0,7.22,6.619,5.4007,281,70.4
22.9,0.03551,0,25.0,0.426,4.86,390.64,4,19.0,7.51,6.167000000000001,5.4007,281,46.7
23.9,0.050589999999999996,0,0.0,0.449,4.49,396.9,3,18.5,9.62,6.388999999999999,4.7794,247,48.0
26.6,0.05735,0,0.0,0.449,4.49,392.3,3,18.5,6.53,6.63,4.4377,247,56.1
22.5,0.051879999999999996,0,0.0,0.449,4.49,395.99,3,18.5,12.86,6.015,4.4272,247,45.1
22.2,0.07151,0,0.0,0.449,4.49,395.15,3,18.5,8.44,6.121,3.7476,247,56.8
23.6,0.0566,0,0.0,0.489,3.41,396.9,2,17.8,5.5,7.007000000000001,3.4217,270,86.3
28.7,0.053020000000000005,0,0.0,0.489,3.41,396.06,2,17.8,5.7,7.079,3.4145,270,63.1
22.6,0.04684,0,0.0,0.489,3.41,392.18,2,17.8,8.81,6.417000000000001,3.0923,270,66.1
25.0,0.02875,0,28.0,0.46399999999999997,15.04,396.33,4,18.2,6.21,6.211,3.6659,270,28.9
20.6,0.04294,0,28.0,0.46399999999999997,15.04,396.9,4,18.2,10.59,6.249,3.615,270,77.3
21.4,0.11504,0,0.0,0.445,2.89,391.83,2,18.0,11.34,6.162999999999999,3.4952,276,69.6
27.5,0.14866,0,0.0,0.52,8.56,394.76,5,20.9,9.42,6.727,2.7778,384,79.9
26.5,0.11432,0,0.0,0.52,8.56,395.58,5,20.9,7.67,6.781000000000001,2.8561,384,71.3
18.6,0.22876,0,0.0,0.52,8.56,70.8,5,20.9,10.63,6.405,2.7147,384,85.4
19.3,0.21161,0,0.0,0.52,8.56,394.47,5,20.9,13.44,6.1370000000000005,2.7147,384,87.4
19.5,0.1712,0,0.0,0.52,8.56,395.67,5,20.9,18.66,5.836,2.211,384,91.9
20.4,0.13117,0,0.0,0.52,8.56,387.69,5,20.9,14.09,6.127000000000001,2.1224,384,85.2
19.8,0.12802,0,0.0,0.52,8.56,395.24,5,20.9,12.27,6.474,2.4329,384,97.1
19.4,0.26363000000000003,0,0.0,0.52,8.56,391.23,5,20.9,15.55,6.229,2.5451,384,91.2
22.8,0.10084,0,0.0,0.547,10.01,395.59,6,17.8,10.16,6.715,2.6775,432,81.6
18.5,0.14231,0,0.0,0.547,10.01,388.74,6,17.8,10.45,6.254,2.2565,432,84.2
21.2,0.13158,0,0.0,0.547,10.01,393.3,6,17.8,12.04,6.176,2.7301,432,72.5
19.2,0.15098,0,0.0,0.547,10.01,394.51,6,17.8,10.3,6.021,2.7474,432,82.6
20.4,0.13058,0,0.0,0.547,10.01,338.63,6,17.8,15.37,5.872000000000001,2.4775,432,73.1
19.3,0.14476,0,0.0,0.547,10.01,391.5,6,17.8,13.61,5.731,2.7592,432,65.2
22.0,0.06899,0,0.0,0.581,25.65,389.15,2,19.1,14.37,5.87,2.2577,188,69.7
20.3,0.07165,0,0.0,0.581,25.65,377.67,2,19.1,14.27,6.004,2.1974,188,84.1
20.5,0.09299,0,0.0,0.581,25.65,378.09,2,19.1,17.93,5.961,2.0869,188,92.9
17.3,0.15037999999999999,0,0.0,0.581,25.65,370.31,2,19.1,25.41,5.856,1.9444,188,97.0
18.8,0.09849,0,0.0,0.581,25.65,379.38,2,19.1,17.58,5.879,2.0063,188,95.8
15.7,0.38735,0,0.0,0.581,25.65,359.29,2,19.1,27.26,5.6129999999999995,1.7572,188,95.6
16.2,0.25915,0,0.0,0.624,21.89,392.11,4,21.2,17.19,5.693,1.7883,437,96.0
18.0,0.32543,0,0.0,0.624,21.89,396.9,4,21.2,15.39,6.431,1.8125,437,98.8
19.6,1.19294,0,0.0,0.624,21.89,396.9,4,21.2,12.26,6.3260000000000005,2.271,437,97.7
18.4,0.32982,0,0.0,0.624,21.89,388.69,4,21.2,15.03,5.822,2.4699,437,95.4
15.6,0.9761700000000001,0,0.0,0.624,21.89,262.76,4,21.2,17.31,5.757000000000001,2.346,437,98.4
17.4,0.32264,0,0.0,0.624,21.89,378.25,4,21.2,16.9,5.942,1.9669,437,93.5
17.1,0.35233000000000003,0,0.0,0.624,21.89,394.08,4,21.2,14.59,6.454,1.8498,437,98.4
13.3,0.2498,0,0.0,0.624,21.89,392.04,4,21.2,21.32,5.857,1.6686,437,98.2
17.8,0.54452,0,0.0,0.624,21.89,396.9,4,21.2,18.46,6.151,1.6687,437,97.9
14.4,1.6286399999999999,0,0.0,0.624,21.89,396.9,4,21.2,34.41,5.019,1.4394,437,100.0
13.4,3.32105,1,0.0,0.871,19.58,396.9,5,14.7,26.82,5.403,1.3216,403,100.0
13.8,2.37934,0,0.0,0.871,19.58,172.91,5,14.7,27.8,6.13,1.4191,403,100.0
14.6,2.36862,0,0.0,0.871,19.58,391.71,5,14.7,29.53,4.926,1.4608,403,95.7
17.8,2.3309900000000003,0,0.0,0.871,19.58,356.99,5,14.7,28.32,5.186,1.5296,403,93.8
15.4,2.7339700000000002,0,0.0,0.871,19.58,351.85,5,14.7,21.45,5.597,1.5257,403,94.9
21.5,1.6566,0,0.0,0.871,19.58,372.8,5,14.7,14.1,6.122000000000001,1.618,403,97.3
19.4,2.14918,0,0.0,0.871,19.58,261.95,5,14.7,15.79,5.709,1.6232,403,98.5
17.0,1.41385,1,0.0,0.871,19.58,321.02,5,14.7,15.12,6.129,1.7494,403,96.0
13.1,2.4466799999999997,0,0.0,0.871,19.58,88.63,5,14.7,16.14,5.272,1.7364,403,94.0
24.3,1.34284,0,0.0,0.605,19.58,353.89,5,14.7,6.43,6.066,1.7573,403,100.0
23.3,1.4250200000000002,0,0.0,0.871,19.58,364.31,5,14.7,7.39,6.51,1.7659,403,100.0
27.0,1.27346,1,0.0,0.605,19.58,338.92,5,14.7,5.5,6.25,1.7984,403,92.6
50.0,1.46336,0,0.0,0.605,19.58,374.43,5,14.7,1.73,7.489,1.9709,403,90.8
50.0,1.51902,1,0.0,0.605,19.58,388.45,5,14.7,3.32,8.375,2.162,403,93.9
22.7,2.2423599999999997,0,0.0,0.605,19.58,395.11,5,14.7,11.64,5.854,2.4219999999999997,403,91.8
25.0,2.924,0,0.0,0.605,19.58,240.16,5,14.7,9.81,6.101,2.2834,403,93.0
50.0,2.01019,0,0.0,0.605,19.58,369.3,5,14.7,3.7,7.928999999999999,2.0459,403,96.2
23.8,1.8002799999999999,0,0.0,0.605,19.58,227.61,5,14.7,12.14,5.877000000000001,2.4259,403,79.2
22.3,2.4495299999999998,0,0.0,0.605,19.58,330.04,5,14.7,11.32,6.402,2.2625,403,95.2
17.4,1.2074200000000002,0,0.0,0.605,19.58,292.29,5,14.7,14.43,5.875,2.4259,403,94.6
19.1,2.3139,0,0.0,0.605,19.58,348.13,5,14.7,12.03,5.88,2.3887,403,97.3
23.1,0.13914,0,0.0,0.51,4.05,396.9,5,16.6,14.69,5.572,2.5961,296,88.5
23.6,0.09178,0,0.0,0.51,4.05,395.5,5,16.6,9.04,6.416,2.6463,296,84.1
22.6,0.08447,0,0.0,0.51,4.05,393.23,5,16.6,9.64,5.859,2.7019,296,68.7
29.4,0.06663999999999999,0,0.0,0.51,4.05,390.96,5,16.6,5.33,6.546,3.1323,296,33.1
23.2,0.07022,0,0.0,0.51,4.05,393.23,5,16.6,10.11,6.02,3.5549,296,47.2
24.6,0.05425,0,0.0,0.51,4.05,395.6,5,16.6,6.29,6.315,3.3175,296,73.4
29.9,0.06642,0,0.0,0.51,4.05,391.27,5,16.6,6.92,6.86,2.9153,296,74.4
37.2,0.0578,0,0.0,0.488,2.46,396.9,3,17.8,5.04,6.98,2.8289999999999997,193,58.4
39.8,0.06588,0,0.0,0.488,2.46,395.56,3,17.8,7.56,7.765,2.741,193,83.3
36.2,0.06888,0,0.0,0.488,2.46,396.9,3,17.8,9.45,6.144,2.5979,193,62.2
37.9,0.09103,0,0.0,0.488,2.46,394.12,3,17.8,4.82,7.155,2.7006,193,92.2
32.5,0.10008,0,0.0,0.488,2.46,396.9,3,17.8,5.68,6.563,2.847,193,95.6
50.0,0.05602000000000001,0,0.0,0.488,2.46,392.63,3,17.8,4.45,7.831,3.1992,193,53.6
32.0,0.07875,0,45.0,0.43700000000000006,3.44,393.87,5,15.2,6.68,6.782,3.7886,398,41.1
34.9,0.0837,0,45.0,0.43700000000000006,3.44,396.9,5,15.2,5.39,7.185,4.5667,398,38.9
37.0,0.09068,0,45.0,0.43700000000000006,3.44,377.68,5,15.2,5.1,6.9510000000000005,6.4798,398,21.5
30.5,0.06911,0,45.0,0.43700000000000006,3.44,389.71,5,15.2,4.69,6.739,6.4798,398,30.8
36.4,0.08664,0,45.0,0.43700000000000006,3.44,390.49,5,15.2,2.87,7.178,6.4798,398,26.3
31.1,0.02187,0,60.0,0.401,2.93,393.37,1,15.6,5.03,6.8,6.2196,265,9.9
29.1,0.01439,0,60.0,0.401,2.93,376.7,1,15.6,4.38,6.604,6.2196,265,18.8
30.3,0.04666,0,80.0,0.40399999999999997,1.52,354.31,2,12.6,8.61,7.107,7.309,329,36.6
32.9,0.01778,0,95.0,0.40299999999999997,1.47,384.3,3,17.0,4.45,7.135,7.6534,402,13.9
24.1,0.03445,0,82.5,0.415,2.03,393.77,2,14.7,7.43,6.162000000000001,6.27,348,38.4
48.5,0.0351,0,95.0,0.4161,2.68,392.78,4,14.7,3.81,7.853,5.118,224,33.2
50.0,0.02009,0,95.0,0.4161,2.68,390.55,4,14.7,2.88,8.033999999999999,5.118,224,31.9
22.6,0.13642,0,0.0,0.489,10.59,396.9,4,18.6,10.87,5.891,3.9454,277,22.3
24.4,0.22969,0,0.0,0.489,10.59,394.87,4,18.6,10.97,6.3260000000000005,4.3549,277,52.5
24.4,0.13587,1,0.0,0.489,10.59,381.32,4,18.6,14.66,6.064,4.2392,277,59.1
19.3,0.37578,1,0.0,0.489,10.59,395.24,4,18.6,23.98,5.404,3.665,277,88.6
28.1,0.14052,0,0.0,0.489,10.59,385.81,4,18.6,9.38,6.375,3.9454,277,32.3
23.7,0.28955,0,0.0,0.489,10.59,348.93,4,18.6,29.55,5.412000000000001,3.5875,277,9.8
23.3,0.0456,1,0.0,0.55,13.89,392.8,5,16.4,13.51,5.888,3.1121,276,56.0
21.7,0.40771,1,0.0,0.507,6.2,395.24,8,17.4,21.46,6.164,3.048,307,91.3
27.5,0.62356,1,0.0,0.507,6.2,390.39,8,17.4,9.93,6.879,3.2721,307,77.7
30.1,0.6147,0,0.0,0.507,6.2,396.9,8,17.4,7.6,6.617999999999999,3.2721,307,80.8
44.8,0.31533,0,0.0,0.504,6.2,385.05,8,17.4,4.14,8.266,2.8944,307,78.3
50.0,0.52693,0,0.0,0.504,6.2,382.0,8,17.4,4.63,8.725,2.8944,307,83.0
37.6,0.38214000000000004,0,0.0,0.504,6.2,387.38,8,17.4,3.13,8.04,3.2157,307,86.5
31.6,0.41238,0,0.0,0.504,6.2,372.08,8,17.4,6.36,7.162999999999999,3.2157,307,79.9
31.5,0.44178,0,0.0,0.504,6.2,380.34,8,17.4,3.76,6.5520000000000005,3.3751,307,21.4
24.3,0.537,0,0.0,0.504,6.2,378.35,8,17.4,11.65,5.981,3.6715,307,68.1
41.7,0.57529,0,0.0,0.507,6.2,385.91,8,17.4,2.47,8.337,3.8384,307,73.3
48.3,0.33147,0,0.0,0.507,6.2,378.95,8,17.4,3.95,8.247,3.6519,307,70.4
29.0,0.44791000000000003,1,0.0,0.507,6.2,360.2,8,17.4,8.05,6.726,3.6519,307,66.5
24.0,0.33045,0,0.0,0.507,6.2,376.75,8,17.4,10.88,6.086,3.6519,307,61.5
25.1,0.52058,1,0.0,0.507,6.2,388.45,8,17.4,9.54,6.631,4.148,307,76.5
